Villes/Villes,Ville 1,Ville 2,Ville 3,Ville 4,Ville 5,Ville 6,Ville 7,Ville 8,Ville 9,Ville 10,Ville 11,Ville 12,Ville 13,Ville 14,Ville 15,Ville 16,Ville 17,Ville 18,Ville 19,Ville 20,Ville 21,Ville 22,Ville 23,Ville 24,Ville 25,Ville 26,Ville 27,Ville 28,Ville 29,Ville 30,Ville 31,Ville 32,Ville 33,Ville 34,Ville 35,Ville 36,Ville 37,Ville 38,Ville 39,Ville 40,Ville 41,Ville 42,Ville 43,Ville 44,Ville 45,Ville 46,Ville 47,Ville 48,Ville 49,Ville 50,Ville 51,Ville 52,Ville 53,Ville 54,Ville 55,Ville 56,Ville 57,Ville 58,Ville 59,Ville 60,Ville 61,Ville 62,Ville 63,Ville 64,Ville 65,Ville 66,Ville 67,Ville 68,Ville 69,Ville 70,Ville 71,Ville 72,Ville 73,Ville 74,Ville 75,Ville 76,Ville 77,Ville 78,Ville 79,Ville 80,Ville 81,Ville 82,Ville 83,Ville 84,Ville 85,Ville 86
Ville 31,14.49,45.09,31.39,29.84,25.16,15.63,10.16,2.76,35.18,24.66,35.98,36.42,35.98,18.97,25.28,28.76,44.7,39.22,45.02,28.35,25.04,0.0,35.72,36.96,36.07,40.26,9.38,34.32,7.24,33.16,0.0,19.49,19.92,7.08,45.04,25.09,19.8,24.03,48.11,16.15,31.33,24.5,10.4,33.72,5.38,9.8,47.76,1.88,41.93,23.2,5.63,10.4,53.34,7.55,24.03,18.56,25.23,23.7,34.53,12.17,28.09,24.73,24.64,44.74,13.27,14.01,13.07,10.04,23.14,38.88,4.12,15.87,16.07,16.74,36.11,25.56,16.83,7.08,31.62,104.45,28.4,21.01,24.75,22.43,27.79,13.94
Ville 32,9.32,29.78,44.95,32.99,30.05,5.96,23.08,21.93,15.69,28.7,22.14,41.3,20.19,12.4,28.46,9.27,33.64,52.77,29.72,8.86,25.24,19.56,28.06,21.17,20.28,41.45,10.91,19.01,13.68,21.55,19.56,0.0,26.13,23.89,29.74,38.65,26.01,21.19,47.95,8.39,44.89,28.9,7.37,47.28,26.49,24.7,61.31,21.05,44.01,15.21,24.8,7.37,42.18,12.96,16.16,18.63,38.78,38.45,48.09,8.64,12.79,28.77,39.38,29.43,7.22,9.65,26.59,22.97,29.35,19.39,16.97,6.23,24.33,24.99,21.86,19.1,26.79,23.89,14.03,77.44,43.15,35.76,39.49,28.67,23.48,9.75
Ville 33,21.58,62.34,21.24,9.93,5.25,20.21,10.18,17.52,36.38,4.74,19.02,16.5,19.02,37.53,5.37,27.68,16.69,32.86,62.27,27.97,47.54,19.79,54.28,17.09,19.11,20.34,26.63,51.57,18.17,51.72,19.79,25.82,0.0,17.59,62.29,22.41,2.57,46.21,23.15,33.4,28.03,4.58,23.32,30.54,22.56,38.95,33.02,20.2,22.02,41.76,22.37,23.32,25.33,24.89,42.6,41.07,25.97,25.35,33.11,24.09,45.34,4.81,27.0,61.98,23.19,21.1,18.79,10.24,5.91,42.26,15.81,20.03,38.58,39.24,19.15,44.12,7.53,17.59,18.26,94.95,29.72,29.75,33.49,6.1,48.49,21.03
Ville 34,15.43,55.89,26.43,27.37,22.69,21.7,7.68,5.19,46.1,22.18,28.8,33.94,28.8,31.09,22.8,34.7,42.25,34.26,55.83,34.99,44.63,6.9,47.84,29.78,28.89,37.78,20.19,45.12,12.09,45.28,6.9,23.67,17.44,0.0,55.85,20.13,17.32,39.77,43.15,26.96,26.37,22.02,17.18,28.76,1.98,14.02,42.8,6.86,39.46,35.32,6.64,17.18,50.79,18.45,36.15,34.62,20.27,16.59,29.57,17.94,38.9,22.25,17.52,55.54,19.19,14.95,6.81,7.57,20.66,43.06,6.29,21.94,19.77,27.65,28.93,37.68,14.35,0.0,24.44,97.27,21.29,13.9,17.63,17.57,42.05,14.88
Ville 35,39.3,0.35,76.82,59.78,59.79,35.49,55.25,47.52,25.47,58.45,42.15,68.44,42.6,28.62,58.2,29.28,57.15,84.65,1.13,29.16,30.48,45.15,17.74,44.68,42.52,64.96,36.5,10.73,45.85,13.82,45.15,29.75,62.71,55.77,0.0,70.52,62.59,26.58,75.43,32.36,76.76,58.64,37.35,79.15,50.14,48.76,93.19,46.65,67.52,25.76,50.39,37.35,63.57,38.55,24.66,32.07,70.66,75.26,79.96,39.13,16.96,58.52,71.82,0.31,38.24,39.63,58.46,55.13,65.94,19.41,49.13,35.76,42.68,43.13,41.87,21.08,63.37,55.77,41.42,62.31,71.57,64.18,67.91,65.26,28.87,39.73
Ville 36,30.0,70.46,9.25,30.01,23.45,36.26,18.69,22.33,60.66,24.5,43.36,31.47,43.37,45.65,25.26,49.26,36.77,14.01,70.39,49.55,58.81,24.6,62.4,44.34,43.45,36.45,34.75,59.69,26.65,59.85,24.6,38.23,22.52,20.09,70.41,0.0,19.84,54.33,29.18,41.52,6.01,24.35,31.74,8.51,21.88,33.52,29.19,25.01,38.13,49.89,25.66,31.74,45.41,33.01,50.72,49.19,1.53,10.51,11.09,32.5,53.46,24.57,11.05,70.11,33.76,29.52,14.3,18.84,19.54,57.62,20.62,36.5,43.05,41.83,43.49,52.24,17.26,20.09,39.0,111.84,13.77,22.12,22.0,16.62,56.61,29.45
Ville 37,21.51,62.27,18.68,11.59,6.91,20.14,10.11,17.45,38.51,6.41,21.15,18.17,21.15,37.46,7.03,29.81,18.36,30.29,62.2,30.1,47.47,19.72,54.21,19.36,21.24,22.0,26.56,51.49,18.1,51.65,19.72,25.75,2.69,17.52,62.22,19.84,0.0,46.14,26.33,33.33,25.46,6.24,23.25,27.97,22.49,38.88,30.46,20.13,23.68,41.69,22.3,23.25,26.99,24.82,42.53,41.0,23.4,22.78,30.55,24.02,45.27,6.48,24.43,61.91,23.12,21.03,18.2,10.17,3.34,44.39,15.74,19.96,38.51,39.17,21.28,44.05,6.61,17.52,20.39,97.08,27.15,29.16,32.89,3.53,48.42,20.96
Ville 38,23.04,26.92,60.56,51.69,50.59,24.69,38.99,26.33,35.7,50.09,38.88,61.85,38.89,9.61,50.71,28.5,52.34,68.39,27.4,28.09,2.36,23.96,18.42,39.87,38.97,60.14,20.24,26.08,29.59,13.45,23.96,21.07,46.46,39.51,26.87,54.26,46.33,0.0,68.49,13.28,60.5,49.92,21.09,62.89,28.95,18.69,76.93,25.9,62.71,11.12,37.77,21.09,60.88,22.29,10.47,5.47,54.4,51.56,63.6,22.87,24.46,50.16,48.12,26.57,23.17,23.37,47.2,38.87,49.68,36.44,32.88,24.93,13.57,14.24,39.02,7.29,47.11,39.51,32.73,85.44,47.87,40.48,44.21,49.0,4.02,23.47
Ville 39,43.67,75.48,22.47,17.93,18.32,42.15,33.34,44.65,54.62,19.38,34.05,7.06,34.05,59.62,20.14,46.53,18.57,31.19,75.42,46.82,82.18,46.93,76.37,30.84,34.14,12.03,48.72,64.71,40.26,73.81,46.93,47.77,23.15,42.42,75.44,31.31,26.33,68.3,0.0,55.49,32.79,19.23,45.41,33.83,44.2,55.85,10.78,47.33,11.91,63.85,47.98,45.41,23.4,46.98,64.69,63.16,30.47,38.2,37.87,46.18,58.49,19.45,38.74,75.13,45.13,43.19,36.62,33.39,22.85,61.81,42.94,41.97,60.67,65.2,34.18,66.21,28.56,42.42,40.34,100.46,41.46,49.82,49.69,24.87,70.58,43.12
Ville 40,10.35,32.39,47.87,39.0,37.9,12.0,26.3,18.57,24.07,37.4,26.19,49.15,26.2,4.73,38.02,17.65,39.65,55.7,32.87,17.23,17.46,16.2,21.49,27.18,26.28,47.45,7.55,21.73,16.9,18.93,16.2,8.37,33.76,26.82,32.35,41.57,33.64,13.41,55.8,0.0,47.81,37.23,8.4,50.2,21.19,17.85,64.24,17.66,50.02,8.97,21.44,8.4,48.19,9.6,9.8,10.74,41.71,41.37,51.01,10.18,16.51,37.47,42.31,32.04,10.48,10.68,29.51,26.18,36.99,27.77,20.18,12.24,17.48,18.14,26.33,11.32,34.42,26.82,20.04,90.91,46.07,38.68,42.42,36.31,15.7,10.78
